  BMW i3   ,19.010 € ,Madrid,2016, Eléctrico,44.168 km,Automático,170 cv
  BMW Serie 2 218iA Active Tourer  ,19.860 € ,Madrid,2018, Gasolina,20.341 km,Automático,136 cv
  BMW Serie 2 218d Gran Tourer  ,19.860 € ,Madrid,2017, Diesel,17.137 km,Manual,150 cv
  SKODA Scala 1.6 TDI 115CV DSG  ,24.500 € ,Pontevedra,2019, Diesel,3 km,Automático,115 cv
  PEUGEOT 308 1.2 PureTech S&S Style 130  ,13.490 € ,Madrid,2018, Gasolina,20.062 km,Manual,130 cv
  PEUGEOT 2008 1.2 PureTech S&S Allure EAT6 110  ,14.300 € ,Madrid,2018, Gasolina,24.161 km,Automático,110 cv
  HYUNDAI i10 1.0 Go  ,6.490 € ,Madrid,2018, Gasolina,13.221 km,Manual,66 cv
  HYUNDAI i10 1.0 Tecno  ,8.800 € ,Madrid,2018, Gasolina,0 km,Manual,66 cv
  HYUNDAI i20 MPI 1.2 KLASS 5P  ,9.290 € ,Madrid,2018, Gasolina,16.650 km,Manual,85 cv
  NISSAN Note 1.5dCi Tekna Sport  ,7.770 € ,Madrid,2015, Diesel,63.331 km,Manual,90 cv
  HYUNDAI Ioniq HEV 1.6 GDI DT KLASS  ,18.130 € ,Madrid,2019, Gasolina,10.000 km,Automático,141 cv
  INFINITI Q70 2.2d GT Sport Tech Aut.  ,27.630 € ,Madrid,2017, Diesel,25.307 km,Automático,170 cv
  LAND-ROVER Discovery Sport 2.0TD4 SE 4x4 150  ,22.890 € ,Madrid,2016, Diesel,84.726 km,Manual,150 cv
  LEXUS GS 300h Executive  ,21.590 € ,Madrid,2015, Híbrido,127.283 km,Automático,223 cv
  LEXUS NX 300h F Luxury 4WD  ,29.360 € ,Madrid,2015, Híbrido,97.820 km,Automático,197 cv
  LEXUS NX 300h F Luxury 4WD  ,31.510 € ,Madrid,2015, Híbrido,69.499 km,Automático,197 cv
  MERCEDES-BENZ Clase E Cabrio 220BlueTec  ,29.900 € ,Valencia,2014, Diesel,27.000 km,Automático,170 cv
  BMW Serie 1 118i  ,21.900 € ,Madrid,2018, Gasolina,26 km,Manual,136 cv
  VOLKSWAGEN CC 2.0TDI BMT 140  ,14.790 € ,Toledo,2015, Diesel,119.000 km,Manual,140 cv
  KIA Optima 1.7CRDI Eco-Dynamics Business  ,15.995 € ,Madrid,2017, Diesel,76.000 km,Manual,141 cv
  MERCEDES-BENZ Clase GLA 220CDI Urban 4Matic 7G-DCT  ,22.995 € ,Madrid,2014, Diesel,65.000 km,Automático,170 cv
  SEAT León 1.6TDI CR S&S Style 105  ,15.200 € ,Huesca,2014, Diesel,16.591 km,Manual,105 cv
  SKODA Superb Combi 2.0TDI Ambition DSG6 110kW  ,22.300 € ,Madrid,2016, Diesel,66.703 km,Automático,150 cv
  PEUGEOT 3008 Diesel de 5 Puertas  ,13.750 € ,Murcia,2016, Diesel,106.507 km,Automático,120 cv
  PEUGEOT 308 SW 1.6HDI FAP Premium 112  ,7.900 € ,Málaga,2010, Diesel,100.000 km,Manual,112 cv
  HYUNDAI i20 1.2 BD Klass  ,8.990 € ,Valencia,2017, Gasolina,20.385 km,Manual,85 cv
  OPEL Mokka 1.6 CDTI 100KW (136CV) 4X2 S&S SELECTIVE  ,15.990 € ,Madrid,2018, Diesel,38.446 km,Manual,136 cv
  OPEL Astra 1.4T S/S Dynamic 125  ,14.490 € ,Madrid,2018, Gasolina,12.230 km,Manual,
  OPEL Astra 1.4T S/S Dynamic 125  ,14.690 € ,Madrid,2018, Gasolina,17.367 km,Manual,
  MERCEDES-BENZ Clase A 200 CDI / D URBAN  ,20.450 € ,Valencia,2015, Diesel,52.331 km,Automático,136 cv
  BMW X5 xDrive 35iA  ,34.100 € ,Valencia,2014, Gasolina,96.754 km,Automático,306 cv
  MERCEDES-BENZ Clase A 200 D URBAN  ,23.990 € ,Madrid,2017, Diesel,40.618 km,Automático,136 cv
  OPEL Astra 1.6CDTi S/S GSi Line 136  ,17.900 € ,Madrid,2019, Diesel,14.000 km,Manual,136 cv
  MERCEDES-BENZ Clase B 180d  ,16.600 € ,Madrid,2015, Diesel,73.760 km,Manual,109 cv
  OPEL Grandland X 1.6CDTi S&S Excellence 120  ,19.500 € ,Málaga,2018, Diesel,10.252 km,Manual,120 cv
  LEXUS NX 300h Corporate 2WD  ,27.500 € ,Álava,2015, Híbrido,68.000 km,Automático,197 cv
  OPEL Astra 1.8 16V VVT 5 PORTE COSMO  ,4.500 € ,La Rioja,2008, Gasolina,180.000 km,Manual,140 cv
  VOLKSWAGEN CC 2.0TDI BMT 140  ,12.990 € ,Madrid,2015, Diesel,145.260 km,Manual,140 cv
  BMW Serie 1 118dA  ,15.990 € ,Granada,2016, Diesel,81.000 km,Automático,150 cv
  RENAULT Mégane 1.5dCi Energy Business S&S 110  ,10.900 € ,Madrid,2015, Diesel,74.712 km,Manual,110 cv
  MERCEDES-BENZ Clase B 180 CDI / D URBAN  ,23.550 € ,Valencia,2018, Diesel,28.564 km,Automático,109 cv
  AUDI A4 2.0TDI S line edition S tronic 110kW  ,30.300 € ,Madrid,2018, Diesel,11.619 km,Automático,150 cv
  AUDI A3 S3 Sportback 2.0 TFSI quattro S-Tronic  ,21.990 € ,La Coruña,2012, Gasolina,65.000 km,Automático,265 cv
  NISSAN Qashqai 1.5 DCI ACENTA N-STYLE  ,22.500 € ,Cádiz,2019, Diesel,0 km,Manual,115 cv
  CHRYSLER Voyager 2.5CRD SE  ,7.900 € ,Barcelona,2006, Diesel,131.500 km,Manual,143 cv
  VOLVO V40 1.6 D2 KINETIC  ,12.900 € ,Málaga,2015, Diesel,131.693 km,Manual,115 cv
  MERCEDES-BENZ Clase A 200 CDI / D URBAN  ,21.050 € ,Madrid,2015, Diesel,53.525 km,Automático,136 cv
  VOLKSWAGEN Polo 1.4TDI Trendline  ,2.900 € ,Toledo,2003, Diesel,160.000 km,Manual,75 cv
  RENAULT Clio 1.5dCi eco2 S&S Energy Business 90  ,8.800 € ,Barcelona,2015, Diesel,50.000 km,Manual,90 cv
  OPEL Insignia 1.6CDTI ecoFlex S&S Business 136  ,14.900 € ,Málaga,2016, Diesel,48.503 km,Manual,136 cv
  PEUGEOT 2008 1.2 PureTech Style 82  ,12.295 € ,Valencia,2018, Gasolina,3.575 km,Manual,82 cv
